"author1"	"author2"	"pubs"	"pubIDs"
"Abdel-Mohsen M"	"Ashare R"	"0"	""
"Abdel-Mohsen M"	"awasthi s"	"0"	""
"Abdel-Mohsen M"	"azzoni l"	"0"	""
"Abdel-Mohsen M"	"BAR K"	"0"	""
"Abdel-Mohsen M"	"bau hh"	"0"	""
"Abdel-Mohsen M"	"Bauermeister J"	"0"	""
"Abdel-Mohsen M"	"BETTS M"	"1"	"29669853"
"Abdel-Mohsen M"	"BHANDOOLA A"	"0"	""
"Abdel-Mohsen M"	"BISSON GP"	"0"	""
"Abdel-Mohsen M"	"BLANK MB"	"0"	""
"Abdel-Mohsen M"	"blumberg ea"	"0"	""
"Abdel-Mohsen M"	"brady ka"	"0"	""
"Abdel-Mohsen M"	"brawner b"	"0"	""
"Abdel-Mohsen M"	"BUSHMAN F"	"0"	""
"Abdel-Mohsen M"	"CANCRO M"	"0"	""
"Abdel-Mohsen M"	"CATON A"	"0"	""
"Abdel-Mohsen M"	"chang km"	"0"	""
"Abdel-Mohsen M"	"chhatre s"	"0"	""
"Abdel-Mohsen M"	"COHEN GH"	"0"	""
"Abdel-Mohsen M"	"COLLMAN R"	"0"	""
"Abdel-Mohsen M"	"DOUGLAS SD"	"0"	""
"Abdel-Mohsen M"	"DOWSHEN N"	"0"	""
"Abdel-Mohsen M"	"EISENBERG RJ"	"0"	""
"Abdel-Mohsen M"	"Eisenlohr L"	"0"	""
"Abdel-Mohsen M"	"EPPERSON CN"	"0"	""
"Abdel-Mohsen M"	"Evans DL"	"0"	""
"Abdel-Mohsen M"	"friedman hm"	"0"	""
"Abdel-Mohsen M"	"GHOSE T"	"0"	""
"Abdel-Mohsen M"	"GROSS R"	"0"	""
"Abdel-Mohsen M"	"grover s"	"0"	""
"Abdel-Mohsen M"	"HAHN BH"	"0"	""
"Abdel-Mohsen M"	"Hahn SM"	"0"	""
"Abdel-Mohsen M"	"HOXIE J"	"0"	""
"Abdel-Mohsen M"	"HUNTER CA"	"0"	""
"Abdel-Mohsen M"	"jarvis jn"	"0"	""
"Abdel-Mohsen M"	"JEMMOTT J"	"0"	""
"Abdel-Mohsen M"	"JEMMOTT L"	"0"	""
"Abdel-Mohsen M"	"JOHNSON PR"	"0"	""
"Abdel-Mohsen M"	"JORDAN-SCIUTTO K"	"0"	""
"Abdel-Mohsen M"	"JUNE CH"	"0"	""
"Abdel-Mohsen M"	"koenig h"	"0"	""
"Abdel-Mohsen M"	"Kohler HP"	"0"	""
"Abdel-Mohsen M"	"KOHLI RM"	"0"	""
"Abdel-Mohsen M"	"KOLSON D"	"0"	""
"Abdel-Mohsen M"	"kovaric cl"	"0"	""
"Abdel-Mohsen M"	"LANGLEBEN DD"	"0"	""
"Abdel-Mohsen M"	"LIEBERMAN PM"	"0"	""
"Abdel-Mohsen M"	"LIU C"	"0"	""
"Abdel-Mohsen M"	"Lo Re V"	"0"	""
"Abdel-Mohsen M"	"LOWENTHAL ED"	"0"	""
"Abdel-Mohsen M"	"Mcguire JL"	"0"	""
"Abdel-Mohsen M"	"METZGER DS"	"0"	""
"Abdel-Mohsen M"	"MONTANER L"	"3"	"29669853,29633346,29505600"
"Abdel-Mohsen M"	"Moore JH"	"0"	""
"Abdel-Mohsen M"	"morroni c"	"0"	""
"Abdel-Mohsen M"	"O'doherty U"	"1"	"24130489"
