Abdel-Mohsen M	coPub	Betts M	1
Abdel-Mohsen M	coPub	Montaner L	3
Abdel-Mohsen M	coPub	O'doherty U	1
Abdel-Mohsen M	coPub	Tebas P	1
Abdel-Mohsen M	coPub	Tomescu C	1
Ashare R	coPub	Gross R	1
Ashare R	coPub	Schnoll RA	4
Awasthi S	coPub	Bau HH	1
Awasthi S	coPub	Friedman HM	9
Awasthi S	coPub	Liu C	1
Azzoni L	coPub	Montaner L	10
Azzoni L	coPub	O'doherty U	1
Azzoni L	coPub	Tebas P	1
Bar K	coPub	Hahn BH	4
Bar K	coPub	Hoxie J	1
Bar K	coPub	Shaw GM	4
Bar K	coPub	Tebas P	1
Bau HH	coPub	Bushman F	3
Bau HH	coPub	Collman R	2
Bau HH	coPub	Gross R	3
Bau HH	coPub	Liu C	16
Bauermeister J	coPub	Villarruel A	1
Betts M	coPub	Collman R	1
Betts M	coPub	Hoxie J	1
Betts M	coPub	Hunter CA	2
Betts M	coPub	Montaner L	1
Betts M	coPub	Ratcliffe S	2
Betts M	coPub	Shaw GM	1
Betts M	coPub	Su LF	1
Betts M	coPub	Tebas P	1
Betts M	coPub	Tomescu C	1
Betts M	coPub	Weiner DB	1
Betts M	coPub	Wherry EJ	4
Betts M	coPub	Wood S	1
Bhandoola A	coPub	Wherry EJ	3
Bisson GP	coPub	Collman R	2
Bisson GP	coPub	Gross R	9
Bisson GP	coPub	Jarvis JN	1
Bisson GP	coPub	Kolson D	1
Bisson GP	coPub	Steenhoff AP	13
Bisson GP	coPub	Weissman D	10
Bisson GP	coPub	Zetola N	7
Blank MB	coPub	Brady KA	2
Blank MB	coPub	Evans DL	1
Blank MB	coPub	Jemmott J	2
Blank MB	coPub	Metzger DS	6
Blank MB	coPub	Yehia B	3
Blumberg EA	coPub	Brady KA	1
Blumberg EA	coPub	Sawinski D	3
Brady KA	coPub	Dowshen N	1
Brady KA	coPub	Gross R	2
Brady KA	coPub	Metzger DS	3
Brady KA	coPub	Sawinski D	1
Brady KA	coPub	Yehia B	13
Brawner B	coPub	Jemmott J	1
Brawner B	coPub	Jemmott L	4
Brawner B	coPub	Stevens R	3
Brawner B	coPub	Teitelman A	2
Bushman F	coPub	Collman R	14
Bushman F	coPub	Gross R	5
Bushman F	coPub	Hahn BH	4
