author1,author2,pubs
Bushman F,Collman R,33
Bushman F,Abdel-Mohsen M,1
Bushman F,Bar K,1
Bushman F,Fraietta J,2
Bushman F,Hahn B,6
Bushman F,Hoxie J,2
Bushman F,June C,9
Bushman F,Montaner L,1
Bushman F,O'doherty U,4
Bushman F,Riley J,3
Bushman F,Shaw G,2
Bushman F,Van Duyne G,9
Bushman F,Weiner D,1
Bushman F,WHERRY EJ,2
Collman R,Betts M,1
Collman R,Douglas S,3
Collman R,Hahn B,5
Collman R,Hoxie J,6
Collman R,June C,2
Collman R,Kolson D,14
Collman R,Montaner L,5
Collman R,Riley J,1
Collman R,Shaw G,1
Collman R,Weiner D,1
Collman R,Weissman D,1
Collman R,WHERRY EJ,1
Abdel-Mohsen M,Bar K,1
Abdel-Mohsen M,Betts M,1
Abdel-Mohsen M,Hoxie J,1
Abdel-Mohsen M,Montaner L,5
Abdel-Mohsen M,O'doherty U,2
Bar K,Hahn B,10
Bar K,Hoxie J,2
Bar K,Montaner L,1
Bar K,Shaw G,14
Betts M,Hahn B,2
Betts M,Hoxie J,1
Betts M,Montaner L,2
Betts M,Shaw G,2
Betts M,Weiner D,6
Betts M,WHERRY EJ,9
Douglas S,Kolson D,4
Douglas S,Weiner D,3
Eisenlohr L,Weissman D,1
Eisenlohr L,WHERRY EJ,7
Fraietta J,June C,14
Fraietta J,WHERRY EJ,3
Hahn B,Hoxie J,7
Hahn B,O'doherty U,1
Hahn B,Shaw G,174
Hoxie J,June C,4
Hoxie J,Kolson D,4
Hoxie J,Riley J,3
Hoxie J,Shaw G,9
Hoxie J,Weiner D,2
Hoxie J,Weissman D,4
Jordan-Sciutto K,Kolson D,16
June C,Montaner L,2
June C,O'doherty U,1
June C,Riley J,61
June C,WHERRY EJ,3
Kulp D,Shaw G,1
Montaner L,O'doherty U,4
Montaner L,Riley J,1
Montaner L,Weiner D,9
Montaner L,Weissman D,3
O'doherty U,Riley J,1
Riley J,Weiner D,1
Riley J,WHERRY EJ,1
